Date,Open,High,Low,Close,Volume
2016-12-30,77.14,77.46,75.77,76.81,93117
2017-01-03,78.04,78.36,75.93,76.99,127114
2017-01-04,77.72,78.95,77.19,78.3,93452
2017-01-05,78.81,79.06,76.96,77.6,81541
2017-01-06,78.21,78.56,77.4,77.54,61667
2017-01-09,78.2,78.74,76.2,77.79,129093
2017-01-10,78.55,81.14,76.85,80.66,167726
2017-01-11,80.65,80.7,78.9,80.43,110162
2017-01-12,80.0,80.9,78.72,80.85,92587
2017-01-13,80.88,82.0,80.88,81.71,74229
2017-01-17,81.25,81.5,78.0,78.41,103308
2017-01-18,78.8,80.44,78.76,79.23,101377
2017-01-19,79.56,80.13,78.3,78.65,59184
2017-01-20,78.93,78.93,77.97,78.27,49837
2017-01-23,78.09,78.64,77.72,78.31,64494
2017-01-24,78.75,79.86,78.7,79.55,68856
2017-01-25,80.0,81.57,79.23,80.23,83822
2017-01-26,79.93,80.94,79.48,80.6,71824
2017-01-27,80.61,80.97,79.36,80.47,48187
2017-01-30,79.39,79.99,77.93,78.71,63288
2017-01-31,78.39,80.18,77.86,79.95,88571
2017-02-01,80.43,81.75,79.58,80.62,102816
2017-02-02,80.62,81.17,79.37,80.69,96146
2017-02-03,81.49,82.32,80.94,82.24,84780
2017-02-06,81.67,82.14,80.07,80.31,73642
2017-02-07,80.65,81.11,79.76,79.98,59749
2017-02-08,79.82,80.83,78.79,79.9,91112
2017-02-09,80.01,80.96,79.79,79.91,74046
2017-02-10,80.54,80.7,79.63,80.05,80911
2017-02-13,80.94,81.54,80.0,80.5,78098
2017-02-14,80.07,80.86,79.8,80.25,131439
2017-02-15,80.14,81.9,80.0,81.1,138409
2017-02-16,81.1,81.7,79.62,80.14,119437
2017-02-17,80.15,80.15,78.52,78.8,181551
2017-02-21,83.0,87.99,81.11,86.55,378242
2017-02-22,85.53,90.45,85.34,89.89,343415
2017-02-23,89.2,89.85,85.33,85.46,238465
2017-02-24,84.84,85.59,83.95,84.3,143677
2017-02-27,84.44,84.69,82.82,83.85,94084
2017-02-28,83.45,83.94,82.15,82.51,119195
2017-03-01,83.8,85.91,83.36,85.76,162139
2017-03-02,85.47,85.47,83.96,84.15,91693
2017-03-03,83.74,85.01,82.87,83.21,123767
2017-03-06,82.75,83.53,82.7,83.13,133505
2017-03-07,83.04,83.66,82.55,82.96,142116
2017-03-08,83.1,83.81,82.42,82.82,79107
2017-03-09,83.2,83.75,82.4,82.86,93725
2017-03-10,83.47,83.47,81.85,82.27,83150
2017-03-13,82.94,83.24,81.68,82.05,52254
2017-03-14,81.37,81.87,81.11,81.29,41207
2017-03-15,81.56,83.08,81.06,82.92,69016
2017-03-16,82.91,83.56,81.97,83.54,83374
2017-03-17,83.5,85.37,82.48,85.27,213429
2017-03-20,85.22,85.3,84.06,84.66,95758
2017-03-21,84.96,85.32,82.17,82.26,71984
2017-03-22,81.57,83.13,81.47,82.92,73875
2017-03-23,82.84,83.86,82.28,83.13,43959
2017-03-24,83.42,84.65,82.98,83.48,71323
2017-03-27,82.22,84.44,81.72,84.15,58434
2017-03-28,84.03,87.51,83.4,87.26,129811
2017-03-29,87.0,87.0,84.82,85.53,147806
2017-03-30,85.78,86.07,85.05,85.94,126476
2017-03-31,86.46,86.46,85.14,85.87,102137
2017-04-03,85.93,86.01,82.08,83.09,98347
2017-04-04,83.13,84.68,82.07,82.95,74549
2017-04-05,83.32,83.69,81.15,81.6,86654
2017-04-06,81.65,82.44,80.35,82.24,77092
2017-04-07,81.6,82.88,81.6,82.26,108558
2017-04-10,81.87,83.22,80.89,81.39,58648
2017-04-11,81.23,84.36,80.63,84.36,296931
2017-04-12,84.66,84.83,82.47,82.89,107193
2017-04-13,82.65,83.21,81.45,81.64,55287
2017-04-17,81.54,82.32,81.12,82.23,91041
2017-04-18,81.94,82.26,81.4,81.99,113500
2017-04-19,81.99,83.71,81.96,83.35,210594
2017-04-20,84.01,85.72,83.86,85.22,247444
2017-04-21,85.54,86.8,85.3,85.46,165300
2017-04-24,86.0,87.62,85.15,87.13,130496
2017-04-25,87.9,89.59,87.68,89.24,126327
2017-04-26,89.47,92.79,89.4,92.47,339173
2017-04-27,95.0,103.32,94.4,102.58,521700
2017-04-28,103.61,106.2,102.84,102.94,254103
2017-05-01,103.77,106.18,102.02,105.73,220990
2017-05-02,106.15,106.22,104.16,105.42,190468
2017-05-03,105.09,106.9,102.17,106.83,267857
2017-05-04,107.0,109.2,106.14,108.75,264870
2017-05-05,108.86,109.2,105.86,106.94,125170
2017-05-08,107.2,107.2,105.52,106.1,68623
2017-05-09,106.53,107.39,105.26,107.32,182863
2017-05-10,106.93,108.53,106.93,108.3,85812
2017-05-11,108.13,108.78,107.5,108.07,87328
2017-05-12,107.45,107.45,105.16,106.78,94088
2017-05-15,106.73,108.27,106.68,107.62,88556
2017-05-16,107.6,108.7,107.16,108.59,67064
2017-05-17,108.5,109.4,106.65,106.67,121593
2017-05-18,106.49,108.02,106.38,106.41,81405
2017-05-19,107.32,108.22,105.6,107.03,82730
2017-05-22,107.3,107.3,104.53,106.93,73657
2017-05-23,106.96,107.33,105.45,106.78,66414
2017-05-24,106.48,108.59,104.25,106.55,92700
2017-05-25,106.4,110.47,106.4,108.46,139847
2017-05-26,108.42,108.8,107.41,108.7,67575
2017-05-30,108.69,109.4,107.51,107.6,64454
2017-05-31,107.6,107.6,105.33,106.21,100479
2017-06-01,106.02,109.45,106.01,108.94,137580
2017-06-02,109.23,112.77,108.98,111.59,151553
2017-06-05,111.52,111.96,109.43,110.16,123031
2017-06-06,109.59,110.93,108.6,109.46,70062
2017-06-07,109.29,110.8,107.95,108.78,113851
2017-06-08,109.0,111.52,107.93,111.16,84170
2017-06-09,111.19,113.26,108.33,109.6,113851
2017-06-12,109.64,109.93,107.48,109.89,96235
2017-06-13,110.84,111.62,107.76,109.55,75428
2017-06-14,109.55,111.08,106.06,107.92,94609
2017-06-15,106.77,107.67,106.08,106.87,65646
2017-06-16,105.58,107.11,105.43,106.18,151442
2017-06-19,106.6,107.93,105.0,107.67,62789
2017-06-20,107.25,107.51,105.36,106.91,80027
2017-06-21,107.15,108.67,106.92,107.59,78891
2017-06-22,108.05,108.3,105.63,106.75,97867
2017-06-23,106.77,110.37,106.77,109.91,343780
2017-06-26,110.93,111.84,107.3,108.12,152116
2017-06-27,108.41,108.43,105.39,105.65,61169
2017-06-28,106.57,110.64,105.62,110.45,95255
2017-06-29,110.45,110.45,105.68,108.35,121413
2017-06-30,108.6,109.31,107.58,108.62,80214
2017-07-03,107.93,110.11,107.55,108.65,44048
2017-07-05,108.84,110.5,108.18,110.4,84505
2017-07-06,109.1,110.81,107.24,110.52,131178
2017-07-07,110.65,114.45,108.94,112.96,131523
2017-07-10,113.28,113.93,110.43,110.62,121653
2017-07-11,111.66,112.38,109.93,110.85,122195
2017-07-12,111.55,112.91,110.37,111.74,96695
2017-07-13,111.44,111.7,109.6,111.18,104172
2017-07-14,110.8,111.98,110.8,111.5,99952
2017-07-17,111.5,111.97,110.28,111.0,100798
2017-07-18,110.65,111.36,110.12,111.22,165816
2017-07-19,111.88,118.24,111.88,117.88,176091
2017-07-20,117.51,118.33,116.08,118.27,86814
2017-07-21,119.21,119.46,116.59,116.86,142188
2017-07-24,116.75,117.75,114.63,114.95,127701
2017-07-25,115.0,118.08,114.54,118.03,98168
2017-07-26,118.05,119.17,117.05,118.19,96519
2017-07-27,118.44,119.09,112.29,115.21,86448
2017-07-28,114.4,116.18,114.36,115.55,120949
2017-07-31,,118.1,114.05,117.97,236199
2017-08-01,121.0,123.38,116.05,121.41,493310
2017-08-02,121.5,122.7,115.78,116.73,157097
2017-08-03,116.61,117.72,114.22,115.02,147028
2017-08-04,115.69,119.87,114.11,118.95,182195
2017-08-07,119.26,119.53,117.76,118.55,108804
2017-08-08,118.09,120.34,117.86,118.54,112662
2017-08-09,117.58,119.5,116.83,118.65,100181
2017-08-10,117.7,118.99,116.37,118.03,115652
2017-08-11,117.12,119.08,116.91,118.48,100372
2017-08-14,119.43,120.43,118.06,118.43,81250
2017-08-15,118.55,119.51,115.92,116.1,94016
2017-08-16,116.5,117.18,115.5,116.26,268425
2017-08-17,114.71,117.67,114.6,114.94,148857
2017-08-18,113.96,116.18,112.3,115.18,124453
2017-08-21,115.87,116.06,112.15,112.64,150995
2017-08-22,112.82,116.81,112.22,115.98,179463
2017-08-23,114.9,115.6,113.81,115.31,49003
2017-08-24,115.5,115.5,113.5,114.32,93288
2017-08-25,114.5,117.07,113.95,116.28,102701
2017-08-28,116.73,117.95,115.1,117.52,113778
