degree,gamma,C,training F1,test F1,training acc,test acc
6,0.8,1e-09,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
6,0.9,1e-10,0.9198260869565218,0.5532467532467533,0.8941176470588236,0.5333333333333334
7,0.1,1e-10,0.963304347826087,0.4914285714285714,0.9529411764705882,0.5333333333333333
7,0.2,1e-09,1.0,0.4533333333333333,1.0,0.5
7,0.3,1e-09,1.0,0.4533333333333333,1.0,0.5
7,0.4,1e-10,0.9913043478260869,0.5399999999999999,0.9882352941176471,0.6
7,0.5,1e-12,0.7677219251336899,0.6894372294372294,0.7176470588235294,0.6
7,0.6,1e-12,0.7821010101010101,0.6894372294372294,0.7294117647058823,0.6
7,0.7,1e-12,0.8083636363636364,0.7275324675324676,0.7529411764705882,0.6333333333333334
7,0.8,1e-14,0.5226495726495727,0.41515151515151516,0.5058823529411764,0.5
7,0.9,1e-14,0.5226495726495727,0.41515151515151516,0.5058823529411764,0.5
8,0.1,1e-11,0.9913043478260869,0.5627705627705628,0.9882352941176471,0.6000000000000001
8,0.2,1e-12,0.963304347826087,0.5532467532467533,0.9529411764705882,0.5333333333333334
8,0.3,1e-11,1.0,0.47705627705627707,1.0,0.5
8,0.4,1e-11,1.0,0.47705627705627707,1.0,0.5
8,0.5,1e-12,0.9833043478260869,0.5341991341991342,0.9764705882352942,0.5666666666666667
8,0.6,1e-12,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
8,0.7,1e-12,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
8,0.8,1e-12,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
8,0.9,1e-12,0.9913043478260869,0.5627705627705628,0.9882352941176471,0.6000000000000001
9,0.1,1e-15,0.7677219251336899,0.578961038961039,0.7176470588235294,0.5
9,0.2,1e-15,0.7821010101010101,0.6894372294372294,0.7294117647058823,0.6
9,0.3,1e-15,0.8178498023715415,0.7561038961038961,0.7647058823529411,0.6666666666666667
9,0.4,1e-15,0.8178498023715415,0.7275324675324676,0.7647058823529411,0.6333333333333334
9,0.5,1e-13,1.0,0.5399999999999999,1.0,0.6
9,0.6,1e-13,1.0,0.5399999999999999,1.0,0.6
9,0.7,1e-12,1.0,0.43428571428571433,1.0,0.4666666666666666
9,0.8,1e-13,1.0,0.43428571428571433,1.0,0.4666666666666666
9,0.9,1e-12,1.0,0.43428571428571433,1.0,0.4666666666666666
