degree,gamma,C,training recall,test recall,training precision,test_precision,training F1,test F1,training acc,test acc
7,0.7,0.1,1.0,0.48412904226708936,0.9994832041343669,0.6081946414826245,0.9997412677878396,0.5334741819873867,0.9996840442338073,0.5066350710900474
7,0.8,1e-05,0.954644658369378,0.4990554767499232,0.9534604740415027,0.6146873444508606,0.9516520006755165,0.5430946360800595,0.9437598736176935,0.5122507377269069
7,0.9,1e-05,0.9563428475041867,0.4989630766575231,0.95428666593237,0.6129231180100626,0.9530633782760477,0.542502632449105,0.9453396524486571,0.5113028704283288
8,0.1,10.0,0.9995169082125603,0.5488363790502613,1.0,0.6209671509966062,0.9997581620314389,0.5815526960381974,0.9996840442338073,0.5443351515693464
8,0.2,10.0,0.9995169082125603,0.5488363790502613,1.0,0.6209671509966062,0.9997581620314389,0.5815526960381974,0.9996840442338073,0.5443351515693464
8,0.3,10.0,0.9995169082125603,0.5488363790502613,1.0,0.6209671509966062,0.9997581620314389,0.5815526960381974,0.9996840442338073,0.5443351515693464
8,0.4,10.0,0.9995169082125603,0.5488363790502613,1.0,0.6209671509966062,0.9997581620314389,0.5815526960381974,0.9996840442338073,0.5443351515693464
8,0.5,10.0,1.0,0.5488363790502613,1.0,0.6209671509966062,1.0,0.5815526960381974,1.0,0.5443351515693464
8,0.6,10.0,0.9995169082125603,0.5488363790502613,1.0,0.6209671509966062,0.9997581620314389,0.5815526960381974,0.9996840442338073,0.5443351515693464
8,0.7,10.0,1.0,0.5488363790502613,1.0,0.6209671509966062,1.0,0.5815526960381974,1.0,0.5443351515693464
8,0.8,1.0,0.9995169082125603,0.5522551824690647,1.0,0.6228190028484579,0.9997581620314389,0.5842467733754464,0.9996840442338073,0.5462308861665027
8,0.9,1.0,1.0,0.5488363790502613,1.0,0.6209671509966062,1.0,0.5815526960381974,1.0,0.5443351515693464
9,0.1,10.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
9,0.2,10.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
9,0.3,10.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
9,0.4,10.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
9,0.5,10.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
9,0.6,10.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
9,0.7,1.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
9,0.8,1.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
9,0.9,1.0,1.0,0.49356302059440554,1.0,0.627602936828209,1.0,0.5450053340293958,1.0,0.5208262541357417
