Date,Open,High,Low,Close,Volume
2017-01-05,25.87,27.0,25.49,26.86,84141
2017-01-06,26.55,27.04,25.75,25.93,62132
2017-01-09,26.12,26.14,25.55,25.72,45426
2017-01-10,25.64,25.91,25.28,25.67,43877
2017-01-11,25.71,25.76,24.76,25.09,81662
2017-01-12,25.0,25.06,23.88,24.0,56711
2017-01-13,24.21,24.37,22.38,22.69,93252
2017-01-17,23.5,23.76,22.41,22.95,77487
2017-01-18,23.13,23.64,22.84,23.26,78960
2017-01-19,23.54,23.54,21.18,22.45,140214
2017-01-20,22.3,22.3,21.16,21.84,95184
2017-01-23,22.18,22.18,18.58,19.21,249962
2017-01-24,19.44,19.44,17.57,17.95,179831
2017-01-25,18.15,18.29,17.0,17.73,191272
2017-01-26,17.64,19.06,17.09,18.7,121031
2017-01-27,4.5,5.38,3.52,4.86,8010615
2017-01-30,5.09,5.09,4.36,4.4,1224696
2017-01-31,4.35,4.4,3.8,4.06,645596
2017-02-01,4.18,4.29,4.0,4.2,330554
2017-02-02,4.21,4.73,4.1,4.44,517311
2017-02-03,4.72,4.72,4.37,4.46,233176
2017-02-06,4.48,4.53,4.2,4.26,229671
2017-02-07,4.48,4.48,4.07,4.07,183664
2017-02-08,4.06,4.32,4.06,4.12,168603
2017-02-09,4.2,4.31,4.13,4.13,125036
2017-02-10,4.18,4.31,4.12,4.17,94269
2017-02-13,4.21,4.28,4.2,4.26,93502
2017-02-14,4.27,4.82,4.2,4.79,433825
2017-02-15,4.87,7.98,4.79,6.44,5435625
2017-02-16,6.53,7.22,5.76,5.91,1160534
2017-02-17,5.88,5.99,5.45,5.64,332551
2017-02-21,5.6,5.94,5.26,5.57,290242
2017-02-22,5.52,5.87,5.24,5.26,156894
2017-02-23,5.24,5.34,4.89,4.92,130355
2017-02-24,4.87,5.1,4.81,5.1,113500
2017-02-27,5.04,5.94,5.01,5.45,602812
2017-02-28,5.45,5.75,5.34,5.66,198928
2017-03-01,5.66,6.14,5.52,5.92,253787
2017-03-02,5.91,6.09,5.66,5.94,128730
2017-03-03,5.9,6.5,5.9,6.39,341830
2017-03-06,7.19,8.19,6.57,6.95,1403406
2017-03-07,7.1,7.1,5.45,6.74,465356
2017-03-08,6.7,7.15,6.15,7.01,368208
2017-03-09,6.99,7.45,6.65,6.82,337498
2017-03-10,7.41,7.41,6.77,6.88,274972
2017-03-13,7.19,7.33,6.81,7.09,172129
2017-03-14,7.09,7.09,6.61,6.65,157258
2017-03-15,6.61,6.69,6.21,6.57,74872
2017-03-16,6.52,6.99,6.39,6.84,85863
2017-03-17,6.8,6.81,6.47,6.55,125047
2017-03-20,6.6,6.68,6.2,6.53,87081
2017-03-21,6.57,6.6,6.0,6.35,142670
2017-03-22,6.21,6.22,5.81,6.04,104324
2017-03-23,6.0,6.15,5.99,6.08,23595
2017-03-24,6.35,6.35,5.9,6.03,56305
2017-03-27,5.87,6.15,5.87,6.08,66023
2017-03-28,6.07,6.14,5.83,6.05,52618
2017-03-29,6.0,6.1,6.0,6.05,46092
2017-03-30,6.02,6.45,5.94,6.34,119721
2017-03-31,6.39,6.6,6.21,6.38,97122
2017-04-03,6.3,6.45,6.15,6.25,56870
2017-04-04,6.2,6.26,6.08,6.24,63783
2017-04-05,6.21,6.24,6.0,6.0,83955
2017-04-06,6.0,6.0,5.85,5.98,89499
2017-04-07,5.98,5.98,5.58,5.67,83787
2017-04-10,5.64,5.67,5.43,5.44,66296
2017-04-11,5.4,5.44,5.06,5.2,109344
2017-04-12,7.75,7.85,6.25,6.29,5392994
2017-04-13,6.31,6.43,5.75,5.94,755205
2017-04-17,5.9,6.0,5.35,5.37,544420
2017-04-18,5.35,5.78,5.22,5.62,267353
2017-04-19,5.59,6.0,5.55,5.64,154975
2017-04-20,5.63,5.83,5.41,5.45,158034
2017-04-21,5.4,5.61,5.3,5.41,133623
2017-04-24,5.43,5.43,5.18,5.28,98915
2017-04-25,5.28,5.53,5.21,5.39,78499
2017-04-26,5.35,5.64,5.35,5.45,63925
2017-04-27,5.68,6.05,5.3,5.47,349827
2017-04-28,5.44,5.51,5.31,5.44,111824
2017-05-01,5.49,5.55,5.26,5.34,135649
2017-05-02,5.31,5.38,5.05,5.09,151048
2017-05-03,5.07,5.14,4.97,5.06,135972
2017-05-04,5.05,5.16,4.91,5.0,60397
2017-05-05,5.0,5.18,4.86,4.98,119346
2017-05-08,4.95,5.29,4.84,5.17,351727
2017-05-09,5.11,5.19,5.03,5.06,86125
2017-05-10,5.01,5.13,4.98,5.12,49737
2017-05-11,5.09,5.19,5.01,5.12,49465
2017-05-12,5.06,5.08,4.7,4.88,175930
2017-05-15,4.9,5.08,4.9,4.94,50803
2017-05-16,4.93,5.1,4.9,5.04,45346
2017-05-17,4.98,4.98,4.75,4.85,90579
2017-05-18,4.83,5.1,4.78,4.98,70943
2017-05-19,4.98,5.23,4.98,5.03,80409
2017-05-22,5.1,5.12,4.95,5.04,51160
2017-05-23,5.02,5.13,4.87,5.03,37155
2017-05-24,5.0,5.03,4.86,4.94,48284
2017-05-25,4.94,5.13,4.7,4.83,85046
2017-05-26,4.79,5.0,4.75,4.92,42845
2017-05-30,4.94,4.98,4.79,4.9,37932
2017-05-31,4.89,5.01,4.71,4.95,131832
2017-06-01,4.97,5.03,4.91,4.99,78364
2017-06-02,4.99,4.99,4.84,4.86,38915
2017-06-05,4.88,4.91,4.56,4.64,87282
2017-06-06,4.63,4.66,4.36,4.45,90437
2017-06-07,4.43,4.45,4.27,4.37,66362
2017-06-08,4.35,4.64,4.35,4.52,67764
2017-06-09,4.61,4.61,4.28,4.35,86204
2017-06-12,4.35,4.41,4.21,4.23,64483
2017-06-13,4.32,4.59,4.22,4.51,73779
2017-06-14,4.54,4.54,4.32,4.36,29384
2017-06-15,4.42,4.42,4.27,4.31,29230
2017-06-16,4.31,4.31,3.94,3.94,185137
2017-06-19,3.96,4.26,3.96,4.0,72009
2017-06-20,3.98,4.03,3.67,3.98,197754
2017-06-21,4.0,4.12,3.89,4.01,77344
2017-06-22,4.06,4.24,4.06,4.22,89668
2017-06-23,4.21,4.23,4.0,4.07,443797
2017-06-26,4.09,4.34,3.91,4.02,90615
2017-06-27,4.0,4.01,3.95,3.95,34519
2017-06-28,4.0,4.11,3.9,4.08,102452
2017-06-29,4.08,4.11,4.01,4.04,96211
2017-06-30,4.03,4.1,3.98,4.03,40776
2017-07-03,4.08,4.2,4.02,4.15,52758
2017-07-05,4.15,4.15,3.95,4.02,68032
2017-07-06,4.03,4.05,3.82,3.82,62329
2017-07-07,3.88,4.3,3.88,3.95,174132
2017-07-10,3.97,3.97,3.85,3.85,58761
2017-07-11,3.8,4.05,3.8,3.99,59913
2017-07-12,3.97,4.02,3.82,3.92,48063
2017-07-13,3.9,4.0,3.89,3.99,21530
2017-07-14,4.18,4.2,4.01,4.04,34727
2017-07-17,4.0,4.06,3.94,3.98,55214
2017-07-18,4.04,4.05,3.91,3.96,24182
2017-07-19,3.99,4.02,3.96,3.98,16317
2017-07-20,4.04,4.04,3.98,3.99,16304
2017-07-21,4.01,4.06,3.99,4.05,39026
2017-07-24,4.08,4.08,3.96,4.03,39691
2017-07-25,4.04,4.06,4.0,4.04,15112
2017-07-26,4.07,4.2,4.06,4.17,33513
2017-07-27,4.16,4.26,4.16,4.26,38280
2017-07-28,4.28,5.57,4.26,5.31,754237
2017-07-31,5.69,6.7,5.56,5.98,2713513
2017-08-01,5.98,5.98,5.34,5.48,474148
2017-08-02,5.42,5.42,4.51,4.54,470466
2017-08-03,4.51,4.64,4.35,4.52,110932
2017-08-04,4.58,5.49,4.35,5.05,248593
2017-08-07,5.21,5.21,4.7,4.77,189277
2017-08-08,4.78,4.97,4.65,4.69,67751
2017-08-09,4.65,4.65,4.31,4.46,109932
2017-08-10,4.42,4.42,4.2,4.33,68122
2017-08-11,4.3,4.3,4.1,4.3,93079
2017-08-14,4.3,4.39,4.11,4.14,60375
2017-08-15,4.12,4.12,3.96,3.98,84204
2017-08-16,4.17,4.17,3.95,4.04,82074
2017-08-17,4.05,4.15,3.9,4.07,124983
2017-08-18,4.07,4.07,3.87,3.99,55611
2017-08-21,3.9,4.02,3.8,3.89,128955
2017-08-22,3.93,4.0,3.85,3.98,21505
2017-08-23,3.95,4.01,3.86,4.0,48076
2017-08-24,4.0,4.3,3.96,4.17,56321
2017-08-25,4.14,4.58,4.13,4.27,45617
2017-08-28,4.41,4.75,4.33,4.61,54991
