Date,Close,Open,High,Low,Vol.,Change %
"Aug 25, 1998",352.05,352.05,352.05,352.05,0,0.63%
"Aug 26, 1998",350.55,350.55,350.55,350.55,0,-0.43%
"Aug 27, 1998",335.15,335.15,335.15,335.15,0,-4.39%
"Aug 28, 1998",323.84,323.84,323.84,323.84,0,-3.37%
"Aug 31, 1998",293,293,293,293,0,-9.52%
"Sep 01, 1998",311.59,311.59,311.59,311.59,0,6.34%
"Sep 02, 1998",313.62,313.62,313.62,313.62,0,0.65%
"Sep 03, 1998",310.2,310.2,310.2,310.2,0,-1.09%
"Sep 04, 1998",307.53,307.53,307.53,307.53,0,-0.86%
"Sep 08, 1998",327.3,327.3,327.3,327.3,0,6.43%
"Sep 09, 1998",321.62,321.62,321.62,321.62,0,-1.74%
"Sep 10, 1998",313.88,313.88,313.88,313.88,0,-2.41%
"Sep 11, 1998",326.25,326.25,326.25,326.25,0,3.94%
"Sep 14, 1998",331.02,331.02,331.02,331.02,0,1.46%
"Sep 15, 1998",333.61,333.61,333.61,333.61,0,0.78%
"Sep 16, 1998",336.19,336.19,336.19,336.19,0,0.77%
"Sep 17, 1998",324.91,324.91,324.91,324.91,0,-3.36%
"Sep 18, 1998",324.72,324.72,324.72,324.72,0,-0.06%
"Sep 21, 1998",331.77,331.77,331.77,331.77,0,2.17%
"Sep 22, 1998",332.78,332.78,332.78,332.78,0,0.30%
"Sep 23, 1998",346.23,346.23,346.23,346.23,0,4.04%
"Sep 24, 1998",340,340,340,340,0,-1.80%
"Sep 25, 1998",346.86,346.86,346.86,346.86,0,2.02%
"Sep 28, 1998",345.17,345.17,345.17,345.17,0,-0.49%
"Sep 29, 1998",344.38,344.38,344.38,344.38,0,-0.23%
"Sep 30, 1998",331.83,331.83,331.83,331.83,0,-3.64%
"Oct 01, 1998",315.64,315.64,315.64,315.64,0,-4.88%
"Oct 02, 1998",312.93,312.93,312.93,312.93,0,-0.86%
"Oct 05, 1998",296.86,296.86,296.86,296.86,0,-5.14%
"Oct 06, 1998",291.36,291.36,291.36,291.36,0,-1.85%
"Oct 07, 1998",286.34,286.34,286.34,286.34,0,-1.72%
"Oct 08, 1998",283.36,283.36,283.36,283.36,0,-1.04%
"Oct 09, 1998",300.74,300.74,300.74,300.74,0,6.13%
"Oct 12, 1998",311.61,311.61,311.61,311.61,0,3.61%
"Oct 13, 1998",302.6,302.6,302.6,302.6,0,-2.89%
"Oct 14, 1998",308.58,308.58,308.58,308.58,0,1.98%
"Oct 15, 1998",324.64,324.64,324.64,324.64,0,5.20%
"Oct 16, 1998",325.1,325.1,325.1,325.1,0,0.14%
"Oct 19, 1998",329.36,329.36,329.36,329.36,0,1.31%
"Oct 20, 1998",323.13,323.13,323.13,323.13,0,-1.89%
"Oct 21, 1998",336.03,336.03,336.03,336.03,0,3.99%
"Oct 22, 1998",340.12,340.12,340.12,340.12,0,1.22%
"Oct 23, 1998",337.21,337.21,337.21,337.21,0,-0.86%
"Oct 26, 1998",343.93,343.93,343.93,343.93,0,1.99%
"Oct 27, 1998",342.17,342.17,342.17,342.17,0,-0.51%
"Oct 28, 1998",347.82,347.82,347.82,347.82,0,1.65%
"Oct 29, 1998",352.59,352.59,352.59,352.59,0,1.37%
"Oct 30, 1998",354.04,354.04,354.04,354.04,0,0.41%
"Nov 02, 1998",358.26,358.26,358.26,358.26,0,1.19%
"Nov 03, 1998",354.18,354.18,354.18,354.18,0,-1.14%
"Nov 04, 1998",363.33,363.33,363.33,363.33,0,2.58%
"Nov 05, 1998",365.68,365.68,365.68,365.68,0,0.65%
"Nov 06, 1998",370.23,370.23,370.23,370.23,0,1.24%
"Nov 09, 1998",372.04,372.04,372.04,372.04,0,0.49%
"Nov 10, 1998",374.85,374.85,374.85,374.85,0,0.76%
"Nov 11, 1998",379.48,379.48,379.48,379.48,0,1.24%
"Nov 12, 1998",375.45,375.45,375.45,375.45,0,-1.06%
"Nov 13, 1998",373.35,373.35,373.35,373.35,0,-0.56%
"Nov 16, 1998",376.64,376.64,376.64,376.64,0,0.88%
"Nov 17, 1998",380.11,380.11,380.11,380.11,0,0.92%
"Nov 18, 1998",383.51,383.51,383.51,383.51,0,0.89%
"Nov 19, 1998",386.95,386.95,386.95,386.95,0,0.90%
"Nov 20, 1998",389.19,389.19,389.19,389.19,0,0.58%
"Nov 23, 1998",402.01,402.01,402.01,402.01,0,3.29%
"Nov 24, 1998",401.47,401.47,401.47,401.47,0,-0.13%
"Nov 25, 1998",404.33,404.33,404.33,404.33,0,0.71%
"Nov 27, 1998",409.49,409.49,409.49,409.49,0,1.28%
"Nov 30, 1998",394.69,394.69,394.69,394.69,0,-3.61%
"Dec 01, 1998",412.79,412.79,412.79,412.79,0,4.59%
"Dec 02, 1998",410.66,410.66,410.66,410.66,0,-0.52%
"Dec 03, 1998",400.8,400.8,400.8,400.8,0,-2.40%
"Dec 04, 1998",416.01,416.01,416.01,416.01,0,3.79%
"Dec 07, 1998",428.61,428.61,428.61,428.61,0,3.03%
"Dec 08, 1998",427.14,427.14,427.14,427.14,0,-0.34%
"Dec 09, 1998",429.73,429.73,429.73,429.73,0,0.61%
"Dec 10, 1998",419.71,419.71,419.71,419.71,0,-2.33%
"Dec 11, 1998",426.28,426.28,426.28,426.28,0,1.57%
"Dec 14, 1998",410.17,410.17,410.17,410.17,0,-3.78%
"Dec 15, 1998",422.12,422.12,422.12,422.12,0,2.91%
"Dec 16, 1998",419.09,419.09,419.09,419.09,0,-0.72%
"Dec 17, 1998",427.74,427.74,427.74,427.74,0,2.06%
"Dec 18, 1998",437.7,437.7,437.7,437.7,0,2.33%
"Dec 21, 1998",449.93,449.93,449.93,449.93,0,2.79%
"Dec 22, 1998",446.82,446.82,446.82,446.82,0,-0.69%
"Dec 23, 1998",459.6,459.6,459.6,459.6,0,2.86%
"Dec 24, 1998",456.36,456.36,456.36,456.36,0,-0.70%
"Dec 28, 1998",458.36,458.36,458.36,458.36,0,0.44%
"Dec 29, 1998",456.21,456.21,456.21,456.21,0,-0.47%
"Dec 30, 1998",453.47,453.47,453.47,453.47,0,-0.60%
"Dec 31, 1998",452.51,452.51,452.51,452.51,0,-0.21%
"Jan 04, 1999",458.06,458.06,458.06,458.06,0,1.23%
"Jan 05, 1999",470.37,470.37,470.37,470.37,0,2.69%
"Jan 06, 1999",482.15,482.15,482.15,482.15,0,2.50%
"Jan 07, 1999",483.76,483.76,483.76,483.76,0,0.33%
"Jan 08, 1999",485.17,485.17,485.17,485.17,0,0.29%
"Jan 11, 1999",492.88,492.88,492.88,492.88,0,1.59%
"Jan 12, 1999",476.21,476.21,476.21,476.21,0,-3.38%
"Jan 13, 1999",476.96,476.96,476.96,476.96,0,0.16%
"Jan 14, 1999",468.34,468.34,468.34,468.34,0,-1.81%
"Jan 15, 1999",486.7,486.7,486.7,486.7,0,3.92%
"Jan 19, 1999",500.74,500.74,500.74,500.74,0,2.88%
"Jan 20, 1999",506.55,506.55,506.55,506.55,0,1.16%
"Jan 21, 1999",492.59,492.59,492.59,492.59,0,-2.76%
"Jan 22, 1999",482.89,482.89,482.89,482.89,0,-1.97%
"Jan 25, 1999",490.79,490.79,490.79,490.79,0,1.64%
"Jan 26, 1999",512.5,512.5,512.5,512.5,0,4.42%
"Jan 27, 1999",505.51,505.51,505.51,505.51,0,-1.36%
"Jan 28, 1999",520.79,520.79,520.79,520.79,0,3.02%
"Jan 29, 1999",530.69,530.69,530.69,530.69,0,1.90%
"Feb 01, 1999",529.33,529.33,529.33,529.33,0,-0.26%
"Feb 02, 1999",519,519,519,519,0,-1.95%
"Feb 03, 1999",522.43,522.43,522.43,522.43,0,0.66%
"Feb 04, 1999",498.98,498.98,498.98,498.98,0,-4.49%
"Feb 05, 1999",488.36,488.36,488.36,488.36,0,-2.13%
"Feb 08, 1999",497.56,497.56,497.56,497.56,0,1.88%
"Feb 09, 1999",475.51,475.51,475.51,475.51,0,-4.43%
"Feb 10, 1999",481.51,481.51,481.51,481.51,0,1.26%
"Feb 11, 1999",503.63,503.63,503.63,503.63,0,4.59%
"Feb 12, 1999",483.39,483.39,483.39,483.39,0,-4.02%
"Feb 16, 1999",480.6,480.6,480.6,480.6,0,-0.58%
"Feb 17, 1999",463.4,463.4,463.4,463.4,0,-3.58%
"Feb 18, 1999",467.63,467.63,467.63,467.63,0,0.91%
"Feb 19, 1999",471.84,471.84,471.84,471.84,0,0.90%
"Feb 22, 1999",488.82,488.82,488.82,488.82,0,3.60%
"Feb 23, 1999",497.25,497.25,497.25,497.25,0,1.72%
"Feb 24, 1999",486.18,486.18,486.18,486.18,0,-2.23%
"Feb 25, 1999",481.28,481.28,481.28,481.28,0,-1.01%
"Feb 26, 1999",465.45,465.45,465.45,465.45,0,-3.29%
"Mar 01, 1999",464.88,464.88,464.88,464.88,0,-0.12%
"Mar 02, 1999",453.45,453.45,453.45,453.45,0,-2.46%
"Mar 03, 1999",457.67,457.67,457.67,457.67,0,0.93%
"Mar 04, 1999",461.29,461.29,461.29,461.29,0,0.79%
"Mar 05, 1999",473.43,473.43,473.43,473.43,0,2.63%
"Mar 08, 1999",488.28,488.28,488.28,488.28,0,3.14%
"Mar 09, 1999",485.34,485.34,485.34,485.34,0,-0.60%
"Mar 10, 1999",484.61,484.61,484.61,484.61,0,-0.15%
"Mar 11, 1999",484.23,484.23,484.23,484.23,0,-0.08%
"Mar 12, 1999",475.78,475.78,475.78,475.78,0,-1.75%
"Mar 15, 1999",487.33,487.33,487.33,487.33,0,2.43%
"Mar 16, 1999",493.89,493.89,493.89,493.89,0,1.35%
"Mar 17, 1999",491.89,491.89,491.89,491.89,0,-0.40%
"Mar 18, 1999",497.94,497.94,497.94,497.94,0,1.23%
"Mar 19, 1999",487.07,487.07,487.07,487.07,0,-2.18%
"Mar 22, 1999",485.53,485.53,485.53,485.53,0,-0.32%
"Mar 23, 1999",471.3,471.3,471.3,471.3,0,-2.93%
"Mar 24, 1999",481.95,481.95,481.95,481.95,0,2.26%
"Mar 25, 1999",495.24,495.24,495.24,495.24,0,2.76%
"Mar 26, 1999",491.98,491.98,491.98,491.98,0,-0.66%
"Mar 29, 1999",511.4,511.4,511.4,511.4,0,3.95%
"Mar 30, 1999",512.72,512.72,512.72,512.72,0,0.26%
"Mar 31, 1999",507.55,507.55,507.55,507.55,0,-1.01%
"Apr 01, 1999",516.09,516.09,516.09,516.09,0,1.68%
"Apr 05, 1999",537.57,537.57,537.57,537.57,0,4.16%
"Apr 06, 1999",544.2,544.2,544.2,544.2,0,1.23%
"Apr 07, 1999",540.92,540.92,540.92,540.92,0,-0.60%
"Apr 08, 1999",545.22,545.22,545.22,545.22,0,0.79%
"Apr 09, 1999",545.3,545.3,545.3,545.3,0,0.01%
"Apr 12, 1999",528.61,528.61,528.61,528.61,0,-3.06%
"Apr 13, 1999",518.3,518.3,518.3,518.3,0,-1.95%
"Apr 14, 1999",505.4,505.4,505.4,505.4,0,-2.49%
"Apr 15, 1999",506.58,506.58,506.58,506.58,0,0.23%
"Apr 16, 1999",494.54,494.54,494.54,494.54,0,-2.38%
"Apr 19, 1999",466.28,466.28,466.28,466.28,0,-5.71%
"Apr 20, 1999",478.1,478.1,478.1,478.1,0,2.53%
"Apr 21, 1999",493.64,493.64,493.64,493.64,0,3.25%
"Apr 22, 1999",518.94,518.94,518.94,518.94,0,5.13%
"Apr 23, 1999",524.16,524.16,524.16,524.16,0,1.01%
"Apr 26, 1999",540.61,540.61,540.61,540.61,0,3.14%
"Apr 27, 1999",528.91,528.91,528.91,528.91,0,-2.16%
"Apr 28, 1999",516.14,516.14,516.14,516.14,0,-2.41%
"Apr 29, 1999",507.82,507.82,507.82,507.82,0,-1.61%
"Apr 30, 1999",513.17,513.17,513.17,513.17,0,1.05%
"May 03, 1999",514.2,514.2,514.2,514.2,0,0.20%
"May 04, 1999",502,502,502,502,0,-2.37%
"May 05, 1999",508.62,508.62,508.62,508.62,0,1.32%
"May 06, 1999",493.51,493.51,493.51,493.51,0,-2.97%
"May 07, 1999",501.3,501.3,501.3,501.3,0,1.58%
"May 10, 1999",510.2,510.2,510.2,510.2,0,1.78%
"May 11, 1999",521.12,521.12,521.12,521.12,0,2.14%
"May 12, 1999",532.19,532.19,532.19,532.19,0,2.12%
"May 13, 1999",529.28,529.28,529.28,529.28,0,-0.55%
"May 14, 1999",513.9,513.9,513.9,513.9,0,-2.91%
"May 17, 1999",523.74,523.74,523.74,523.74,0,1.91%
"May 18, 1999",527.67,527.67,527.67,527.67,0,0.75%
"May 19, 1999",529.65,529.65,529.65,529.65,0,0.38%
"May 20, 1999",520.13,520.13,520.13,520.13,0,-1.80%
"May 21, 1999",514.79,514.79,514.79,514.79,0,-1.03%
"May 24, 1999",503.18,503.18,503.18,503.18,0,-2.26%
"May 25, 1999",487.59,487.59,487.59,487.59,0,-3.10%
"May 26, 1999",501.46,501.46,501.46,501.46,0,2.84%
"May 27, 1999",496.59,496.59,496.59,496.59,0,-0.97%
"May 28, 1999",506.62,506.62,506.62,506.62,0,2.02%
"Jun 01, 1999",492.46,492.46,492.46,492.46,0,-2.79%
"Jun 02, 1999",499.21,499.21,499.21,499.21,0,1.37%
"Jun 03, 1999",493.87,493.87,493.87,493.87,0,-1.07%
"Jun 04, 1999",514.63,514.63,514.63,514.63,0,4.20%
"Jun 07, 1999",522.4,522.4,522.4,522.4,0,1.51%
"Jun 08, 1999",508.23,508.23,508.23,508.23,0,-2.71%
"Jun 09, 1999",518.95,518.95,518.95,518.95,0,2.11%
