,Date,Close,Open,High,Low,Vol.,Change %
79,"Jan 04, 1990",67.73,67.73,67.73,67.73,0,0.52%
80,"Jan 05, 1990",67.36,67.36,67.36,67.36,0,-0.55%
81,"Jan 08, 1990",67.85,67.85,67.85,67.85,0,0.73%
82,"Jan 09, 1990",67.28,67.28,67.28,67.28,0,-0.84%
83,"Jan 10, 1990",66.66,66.66,66.66,66.66,0,-0.92%
84,"Jan 11, 1990",66.89,66.89,66.89,66.89,0,0.35%
85,"Jan 12, 1990",65.35,65.35,65.35,65.35,0,-2.30%
86,"Jan 15, 1990",65.27,65.27,65.27,65.27,0,-0.12%
87,"Jan 16, 1990",67.14,67.14,67.14,67.14,0,2.87%
88,"Jan 17, 1990",66.34,66.34,66.34,66.34,0,-1.19%
89,"Jan 18, 1990",65.98,65.98,65.98,65.98,0,-0.54%
90,"Jan 19, 1990",65.55,65.55,65.55,65.55,0,-0.65%
91,"Jan 22, 1990",64.19,64.19,64.19,64.19,0,-2.07%
92,"Jan 23, 1990",64.79,64.79,64.79,64.79,0,0.93%
93,"Jan 24, 1990",64.93,64.93,64.93,64.93,0,0.22%
94,"Jan 25, 1990",64.29,64.29,64.29,64.29,0,-0.99%
95,"Jan 26, 1990",64.34,64.34,64.34,64.34,0,0.08%
96,"Jan 29, 1990",64.35,64.35,64.35,64.35,0,0.02%
97,"Jan 30, 1990",64.26,64.26,64.26,64.26,0,-0.14%
98,"Jan 31, 1990",65.28,65.28,65.28,65.28,0,1.59%
99,"Feb 01, 1990",65.04,65.04,65.04,65.04,0,-0.37%
100,"Feb 02, 1990",65.35,65.35,65.35,65.35,0,0.48%
101,"Feb 05, 1990",66.1,66.1,66.1,66.1,0,1.15%
102,"Feb 06, 1990",66.4,66.4,66.4,66.4,0,0.45%
103,"Feb 07, 1990",67.93,67.93,67.93,67.93,0,2.30%
104,"Feb 08, 1990",67.83,67.83,67.83,67.83,0,-0.15%
105,"Feb 09, 1990",67.84,67.84,67.84,67.84,0,0.01%
106,"Feb 12, 1990",66.88,66.88,66.88,66.88,0,-1.42%
107,"Feb 13, 1990",67.68,67.68,67.68,67.68,0,1.20%
108,"Feb 14, 1990",68.02,68.02,68.02,68.02,0,0.50%
109,"Feb 15, 1990",68.13,68.13,68.13,68.13,0,0.16%
110,"Feb 16, 1990",67.18,67.18,67.18,67.18,0,-1.39%
111,"Feb 20, 1990",66.31,66.31,66.31,66.31,0,-1.30%
112,"Feb 21, 1990",66.78,66.78,66.78,66.78,0,0.71%
113,"Feb 22, 1990",66.11,66.11,66.11,66.11,0,-1.00%
114,"Feb 23, 1990",65.61,65.61,65.61,65.61,0,-0.76%
115,"Feb 26, 1990",66.67,66.67,66.67,66.67,0,1.62%
116,"Feb 27, 1990",66.85,66.85,66.85,66.85,0,0.27%
117,"Feb 28, 1990",67.64,67.64,67.64,67.64,0,1.18%
118,"Mar 01, 1990",67.48,67.48,67.48,67.48,0,-0.24%
119,"Mar 02, 1990",68.43,68.43,68.43,68.43,0,1.41%
120,"Mar 05, 1990",68.36,68.36,68.36,68.36,0,-0.10%
121,"Mar 06, 1990",69.03,69.03,69.03,69.03,0,0.98%
122,"Mar 07, 1990",69.25,69.25,69.25,69.25,0,0.32%
123,"Mar 08, 1990",70.45,70.45,70.45,70.45,0,1.73%
124,"Mar 09, 1990",70.22,70.22,70.22,70.22,0,-0.33%
125,"Mar 12, 1990",70.57,70.57,70.57,70.57,0,0.50%
126,"Mar 13, 1990",70.13,70.13,70.13,70.13,0,-0.62%
127,"Mar 14, 1990",70.08,70.08,70.08,70.08,0,-0.07%
128,"Mar 15, 1990",70.58,70.58,70.58,70.58,0,0.71%
129,"Mar 16, 1990",72.04,72.04,72.04,72.04,0,2.07%
130,"Mar 19, 1990",73.33,73.33,73.33,73.33,0,1.79%
131,"Mar 20, 1990",72.58,72.58,72.58,72.58,0,-1.02%
132,"Mar 21, 1990",71.99,71.99,71.99,71.99,0,-0.81%
133,"Mar 22, 1990",70.98,70.98,70.98,70.98,0,-1.40%
134,"Mar 23, 1990",70.8,70.8,70.8,70.8,0,-0.25%
135,"Mar 26, 1990",70.62,70.62,70.62,70.62,0,-0.25%
136,"Mar 27, 1990",70.97,70.97,70.97,70.97,0,0.50%
137,"Mar 28, 1990",70.58,70.58,70.58,70.58,0,-0.55%
138,"Mar 29, 1990",70.54,70.54,70.54,70.54,0,-0.06%
139,"Mar 30, 1990",70.16,70.16,70.16,70.16,0,-0.54%
140,"Apr 02, 1990",70.14,70.14,70.14,70.14,0,-0.03%
141,"Apr 03, 1990",71.15,71.15,71.15,71.15,0,1.44%
142,"Apr 04, 1990",70.76,70.76,70.76,70.76,0,-0.55%
143,"Apr 05, 1990",70.04,70.04,70.04,70.04,0,-1.02%
144,"Apr 06, 1990",69.38,69.38,69.38,69.38,0,-0.94%
145,"Apr 09, 1990",69.29,69.29,69.29,69.29,0,-0.13%
146,"Apr 10, 1990",70.18,70.18,70.18,70.18,0,1.28%
147,"Apr 11, 1990",70.7,70.7,70.7,70.7,0,0.74%
148,"Apr 12, 1990",70.86,70.86,70.86,70.86,0,0.23%
149,"Apr 16, 1990",71.78,71.78,71.78,71.78,0,1.30%
150,"Apr 17, 1990",71.48,71.48,71.48,71.48,0,-0.42%
151,"Apr 18, 1990",70.37,70.37,70.37,70.37,0,-1.55%
152,"Apr 19, 1990",69.95,69.95,69.95,69.95,0,-0.60%
153,"Apr 20, 1990",69.84,69.84,69.84,69.84,0,-0.16%
154,"Apr 23, 1990",69.38,69.38,69.38,69.38,0,-0.66%
155,"Apr 24, 1990",69.1,69.1,69.1,69.1,0,-0.40%
156,"Apr 25, 1990",69.58,69.58,69.58,69.58,0,0.69%
157,"Apr 26, 1990",69.55,69.55,69.55,69.55,0,-0.04%
158,"Apr 27, 1990",68.58,68.58,68.58,68.58,0,-1.39%
159,"Apr 30, 1990",69.51,69.51,69.51,69.51,0,1.36%
160,"May 01, 1990",69.34,69.34,69.34,69.34,0,-0.24%
161,"May 02, 1990",70.14,70.14,70.14,70.14,0,1.15%
162,"May 03, 1990",70.55,70.55,70.55,70.55,0,0.58%
163,"May 04, 1990",71.41,71.41,71.41,71.41,0,1.22%
164,"May 07, 1990",71.99,71.99,71.99,71.99,0,0.81%
165,"May 08, 1990",72.17,72.17,72.17,72.17,0,0.25%
166,"May 09, 1990",72.31,72.31,72.31,72.31,0,0.19%
167,"May 10, 1990",72.95,72.95,72.95,72.95,0,0.89%
168,"May 11, 1990",74.23,74.23,74.23,74.23,0,1.75%
169,"May 14, 1990",74.63,74.63,74.63,74.63,0,0.54%
170,"May 15, 1990",75.05,75.05,75.05,75.05,0,0.56%
171,"May 16, 1990",74.79,74.79,74.79,74.79,0,-0.35%
172,"May 17, 1990",75.08,75.08,75.08,75.08,0,0.39%
173,"May 18, 1990",74.92,74.92,74.92,74.92,0,-0.21%
174,"May 21, 1990",75.94,75.94,75.94,75.94,0,1.36%
175,"May 22, 1990",76.41,76.41,76.41,76.41,0,0.62%
176,"May 23, 1990",77.51,77.51,77.51,77.51,0,1.44%
177,"May 24, 1990",77.78,77.78,77.78,77.78,0,0.35%
178,"May 25, 1990",76.38,76.38,76.38,76.38,0,-1.80%
179,"May 29, 1990",78.21,78.21,78.21,78.21,0,2.40%
180,"May 30, 1990",78.32,78.32,78.32,78.32,0,0.14%
181,"May 31, 1990",78.17,78.17,78.17,78.17,0,-0.19%
182,"Jun 01, 1990",77.87,77.87,77.87,77.87,0,-0.38%
183,"Jun 04, 1990",78.78,78.78,78.78,78.78,0,1.17%
184,"Jun 05, 1990",78.49,78.49,78.49,78.49,0,-0.37%
185,"Jun 06, 1990",78.52,78.52,78.52,78.52,0,0.04%
186,"Jun 07, 1990",78.42,78.42,78.42,78.42,0,-0.13%
187,"Jun 08, 1990",77.3,77.3,77.3,77.3,0,-1.43%
188,"Jun 11, 1990",77.84,77.84,77.84,77.84,0,0.70%
189,"Jun 12, 1990",78.59,78.59,78.59,78.59,0,0.96%
190,"Jun 13, 1990",78.7,78.7,78.7,78.7,0,0.14%
191,"Jun 14, 1990",78.45,78.45,78.45,78.45,0,-0.32%
192,"Jun 15, 1990",78.23,78.23,78.23,78.23,0,-0.28%
193,"Jun 18, 1990",76.87,76.87,76.87,76.87,0,-1.74%
194,"Jun 19, 1990",77.03,77.03,77.03,77.03,0,0.21%
195,"Jun 20, 1990",77.01,77.01,77.01,77.01,0,-0.03%
196,"Jun 21, 1990",77.46,77.46,77.46,77.46,0,0.58%
197,"Jun 22, 1990",75.89,75.89,75.89,75.89,0,-2.03%
198,"Jun 25, 1990",75.54,75.54,75.54,75.54,0,-0.46%
199,"Jun 26, 1990",75.18,75.18,75.18,75.18,0,-0.48%
200,"Jun 27, 1990",75.87,75.87,75.87,75.87,0,0.92%
201,"Jun 28, 1990",76.38,76.38,76.38,76.38,0,0.67%
202,"Jun 29, 1990",76.71,76.71,76.71,76.71,0,0.43%
203,"Jul 02, 1990",77.45,77.45,77.45,77.45,0,0.96%
204,"Jul 03, 1990",77.06,77.06,77.06,77.06,0,-0.50%
205,"Jul 05, 1990",76.47,76.47,76.47,76.47,0,-0.77%
206,"Jul 06, 1990",76.89,76.89,76.89,76.89,0,0.55%
207,"Jul 09, 1990",77.55,77.55,77.55,77.55,0,0.86%
208,"Jul 10, 1990",77.06,77.06,77.06,77.06,0,-0.63%
209,"Jul 11, 1990",77.85,77.85,77.85,77.85,0,1.03%
210,"Jul 12, 1990",77.87,77.87,77.87,77.87,0,0.03%
211,"Jul 13, 1990",78.08,78.08,78.08,78.08,0,0.27%
212,"Jul 16, 1990",78.92,78.92,78.92,78.92,0,1.08%
213,"Jul 17, 1990",77.99,77.99,77.99,77.99,0,-1.18%
214,"Jul 18, 1990",77.12,77.12,77.12,77.12,0,-1.12%
215,"Jul 19, 1990",76.49,76.49,76.49,76.49,0,-0.82%
216,"Jul 20, 1990",74.31,74.31,74.31,74.31,0,-2.85%
217,"Jul 23, 1990",72.95,72.95,72.95,72.95,0,-1.83%
218,"Jul 24, 1990",72.04,72.04,72.04,72.04,0,-1.25%
219,"Jul 25, 1990",72.45,72.45,72.45,72.45,0,0.57%
220,"Jul 26, 1990",71.76,71.76,71.76,71.76,0,-0.95%
221,"Jul 27, 1990",70.84,70.84,70.84,70.84,0,-1.28%
222,"Jul 30, 1990",71.1,71.1,71.1,71.1,0,0.37%
223,"Jul 31, 1990",71.03,71.03,71.03,71.03,0,-0.10%
224,"Aug 01, 1990",70.57,70.57,70.57,70.57,0,-0.65%
225,"Aug 02, 1990",69.2,69.2,69.2,69.2,0,-1.94%
226,"Aug 03, 1990",67.57,67.57,67.57,67.57,0,-2.36%
227,"Aug 06, 1990",64.89,64.89,64.89,64.89,0,-3.97%
228,"Aug 07, 1990",64.92,64.92,64.92,64.92,0,0.05%
229,"Aug 08, 1990",65.39,65.39,65.39,65.39,0,0.72%
230,"Aug 09, 1990",65.33,65.33,65.33,65.33,0,-0.09%
231,"Aug 10, 1990",64.63,64.63,64.63,64.63,0,-1.07%
232,"Aug 13, 1990",65.57,65.57,65.57,65.57,0,1.45%
233,"Aug 14, 1990",65.46,65.46,65.46,65.46,0,-0.17%
234,"Aug 15, 1990",65.49,65.49,65.49,65.49,0,0.05%
235,"Aug 16, 1990",64.16,64.16,64.16,64.16,0,-2.03%
236,"Aug 17, 1990",62.53,62.53,62.53,62.53,0,-2.54%
237,"Aug 20, 1990",62.27,62.27,62.27,62.27,0,-0.42%
238,"Aug 21, 1990",61.03,61.03,61.03,61.03,0,-1.99%
239,"Aug 22, 1990",60.34,60.34,60.34,60.34,0,-1.13%
240,"Aug 23, 1990",59.29,59.29,59.29,59.29,0,-1.74%
241,"Aug 24, 1990",61.4,61.4,61.4,61.4,0,3.56%
242,"Aug 27, 1990",63.66,63.66,63.66,63.66,0,3.68%
243,"Aug 28, 1990",63.41,63.41,63.41,63.41,0,-0.39%
244,"Aug 29, 1990",63.33,63.33,63.33,63.33,0,-0.13%
245,"Aug 30, 1990",61.8,61.8,61.8,61.8,0,-2.42%
246,"Aug 31, 1990",62.15,62.15,62.15,62.15,0,0.57%
247,"Sep 04, 1990",62.49,62.49,62.49,62.49,0,0.55%
248,"Sep 05, 1990",61.9,61.9,61.9,61.9,0,-0.94%
249,"Sep 06, 1990",60.99,60.99,60.99,60.99,0,-1.47%
250,"Sep 07, 1990",61.89,61.89,61.89,61.89,0,1.48%
251,"Sep 10, 1990",61.83,61.83,61.83,61.83,0,-0.10%
252,"Sep 11, 1990",61.79,61.79,61.79,61.79,0,-0.06%
253,"Sep 12, 1990",61.91,61.91,61.91,61.91,0,0.19%
254,"Sep 13, 1990",60.59,60.59,60.59,60.59,0,-2.13%
255,"Sep 14, 1990",60.14,60.14,60.14,60.14,0,-0.74%
256,"Sep 17, 1990",60.22,60.22,60.22,60.22,0,0.13%
257,"Sep 18, 1990",60.8,60.8,60.8,60.8,0,0.96%
258,"Sep 19, 1990",61.11,61.11,61.11,61.11,0,0.51%
259,"Sep 20, 1990",60.05,60.05,60.05,60.05,0,-1.73%
260,"Sep 21, 1990",59.61,59.61,59.61,59.61,0,-0.73%
261,"Sep 24, 1990",58.28,58.28,58.28,58.28,0,-2.23%
262,"Sep 25, 1990",59.37,59.37,59.37,59.37,0,1.87%
263,"Sep 26, 1990",58.49,58.49,58.49,58.49,0,-1.48%
264,"Sep 27, 1990",57.69,57.69,57.69,57.69,0,-1.37%
265,"Sep 28, 1990",59.51,59.51,59.51,59.51,0,3.15%
266,"Oct 01, 1990",60.65,60.65,60.65,60.65,0,1.92%
267,"Oct 02, 1990",60.22,60.22,60.22,60.22,0,-0.71%
268,"Oct 03, 1990",59.15,59.15,59.15,59.15,0,-1.78%
269,"Oct 04, 1990",58.56,58.56,58.56,58.56,0,-1.00%
270,"Oct 05, 1990",58.74,58.74,58.74,58.74,0,0.31%
271,"Oct 08, 1990",59.25,59.25,59.25,59.25,0,0.87%
272,"Oct 09, 1990",56.62,56.62,56.62,56.62,0,-4.44%
273,"Oct 10, 1990",55.63,55.63,55.63,55.63,0,-1.75%
274,"Oct 11, 1990",54.63,54.63,54.63,54.63,0,-1.80%
275,"Oct 12, 1990",54.62,54.62,54.62,54.62,0,-0.02%
276,"Oct 15, 1990",54.47,54.47,54.47,54.47,0,-0.27%
277,"Oct 16, 1990",54.22,54.22,54.22,54.22,0,-0.46%
278,"Oct 17, 1990",54.79,54.79,54.79,54.79,0,1.05%
279,"Oct 18, 1990",57.3,57.3,57.3,57.3,0,4.58%
280,"Oct 19, 1990",58.45,58.45,58.45,58.45,0,2.01%
281,"Oct 22, 1990",58.65,58.65,58.65,58.65,0,0.34%
282,"Oct 23, 1990",58.48,58.48,58.48,58.48,0,-0.29%
283,"Oct 24, 1990",59.18,59.18,59.18,59.18,0,1.20%
284,"Oct 25, 1990",58.61,58.61,58.61,58.61,0,-0.96%
285,"Oct 26, 1990",57.47,57.47,57.47,57.47,0,-1.95%
286,"Oct 29, 1990",56.81,56.81,56.81,56.81,0,-1.15%
287,"Oct 30, 1990",57.22,57.22,57.22,57.22,0,0.72%
288,"Oct 31, 1990",57.04,57.04,57.04,57.04,0,-0.31%
289,"Nov 01, 1990",57.94,57.94,57.94,57.94,0,1.58%
290,"Nov 02, 1990",58.86,58.86,58.86,58.86,0,1.59%
291,"Nov 05, 1990",59.3,59.3,59.3,59.3,0,0.75%
292,"Nov 06, 1990",58.92,58.92,58.92,58.92,0,-0.64%
293,"Nov 07, 1990",57.81,57.81,57.81,57.81,0,-1.88%
294,"Nov 08, 1990",58.6,58.6,58.6,58.6,0,1.37%
295,"Nov 09, 1990",59.93,59.93,59.93,59.93,0,2.27%
296,"Nov 12, 1990",61.66,61.66,61.66,61.66,0,2.89%
297,"Nov 13, 1990",61.27,61.27,61.27,61.27,0,-0.63%
298,"Nov 14, 1990",62.12,62.12,62.12,62.12,0,1.39%
299,"Nov 15, 1990",61.2,61.2,61.2,61.2,0,-1.48%
300,"Nov 16, 1990",61.75,61.75,61.75,61.75,0,0.90%
301,"Nov 19, 1990",62.32,62.32,62.32,62.32,0,0.92%
302,"Nov 20, 1990",61.39,61.39,61.39,61.39,0,-1.49%
303,"Nov 21, 1990",61.69,61.69,61.69,61.69,0,0.49%
304,"Nov 23, 1990",61.16,61.16,61.16,61.16,0,-0.86%
305,"Nov 26, 1990",61.6,61.6,61.6,61.6,0,0.72%
306,"Nov 27, 1990",62.17,62.17,62.17,62.17,0,0.93%
307,"Nov 28, 1990",62,62,62,62,0,-0.27%
308,"Nov 29, 1990",61.95,61.95,61.95,61.95,0,-0.08%
309,"Nov 30, 1990",62.49,62.49,62.49,62.49,0,0.87%
310,"Dec 03, 1990",64.11,64.11,64.11,64.11,0,2.59%
311,"Dec 04, 1990",64.92,64.92,64.92,64.92,0,1.26%
312,"Dec 05, 1990",65.9,65.9,65.9,65.9,0,1.51%
313,"Dec 06, 1990",65.01,65.01,65.01,65.01,0,-1.35%
314,"Dec 07, 1990",65.14,65.14,65.14,65.14,0,0.20%
315,"Dec 10, 1990",65.34,65.34,65.34,65.34,0,0.31%
316,"Dec 11, 1990",64.32,64.32,64.32,64.32,0,-1.56%
317,"Dec 12, 1990",65.42,65.42,65.42,65.42,0,1.71%
318,"Dec 13, 1990",64.68,64.68,64.68,64.68,0,-1.13%
319,"Dec 14, 1990",63.72,63.72,63.72,63.72,0,-1.48%
320,"Dec 17, 1990",63.79,63.79,63.79,63.79,0,0.11%
321,"Dec 18, 1990",64.81,64.81,64.81,64.81,0,1.60%
322,"Dec 19, 1990",64.89,64.89,64.89,64.89,0,0.12%
323,"Dec 20, 1990",65.38,65.38,65.38,65.38,0,0.76%
324,"Dec 21, 1990",65.91,65.91,65.91,65.91,0,0.81%
325,"Dec 24, 1990",65.58,65.58,65.58,65.58,0,-0.50%
326,"Dec 26, 1990",65.5,65.5,65.5,65.5,0,-0.12%
327,"Dec 27, 1990",65.1,65.1,65.1,65.1,0,-0.61%
328,"Dec 28, 1990",65.11,65.11,65.11,65.11,0,0.02%
329,"Dec 31, 1990",65.1,65.1,65.1,65.1,0,-0.02%
330,"Jan 02, 1991",64.91,64.91,64.91,64.91,0,-0.29%
331,"Jan 03, 1991",64.64,64.64,64.64,64.64,0,-0.42%
332,"Jan 04, 1991",64.49,64.49,64.49,64.49,0,-0.23%
333,"Jan 07, 1991",63.56,63.56,63.56,63.56,0,-1.44%
334,"Jan 08, 1991",63,63,63,63,0,-0.88%
335,"Jan 09, 1991",62.22,62.22,62.22,62.22,0,-1.24%
336,"Jan 10, 1991",62.97,62.97,62.97,62.97,0,1.21%
337,"Jan 11, 1991",62.86,62.86,62.86,62.86,0,-0.17%
338,"Jan 14, 1991",62.02,62.02,62.02,62.02,0,-1.34%
339,"Jan 15, 1991",62.62,62.62,62.62,62.62,0,0.97%
340,"Jan 16, 1991",64.47,64.47,64.47,64.47,0,2.95%
341,"Jan 17, 1991",67.19,67.19,67.19,67.19,0,4.22%
342,"Jan 18, 1991",68.5,68.5,68.5,68.5,0,1.95%
343,"Jan 21, 1991",69.21,69.21,69.21,69.21,0,1.04%
344,"Jan 22, 1991",68.3,68.3,68.3,68.3,0,-1.31%
345,"Jan 23, 1991",68.71,68.71,68.71,68.71,0,0.60%
346,"Jan 24, 1991",69.83,69.83,69.83,69.83,0,1.63%
347,"Jan 25, 1991",70.22,70.22,70.22,70.22,0,0.56%
348,"Jan 28, 1991",71.12,71.12,71.12,71.12,0,1.28%
349,"Jan 29, 1991",71.6,71.6,71.6,71.6,0,0.67%
350,"Jan 30, 1991",73.2,73.2,73.2,73.2,0,2.23%
351,"Jan 31, 1991",73.54,73.54,73.54,73.54,0,0.46%
352,"Feb 01, 1991",73.44,73.44,73.44,73.44,0,-0.14%
353,"Feb 04, 1991",74.13,74.13,74.13,74.13,0,0.94%
354,"Feb 05, 1991",74.97,74.97,74.97,74.97,0,1.13%
355,"Feb 06, 1991",76.06,76.06,76.06,76.06,0,1.45%
356,"Feb 07, 1991",75.29,75.29,75.29,75.29,0,-1.01%
357,"Feb 08, 1991",76.03,76.03,76.03,76.03,0,0.98%
358,"Feb 11, 1991",77.85,77.85,77.85,77.85,0,2.39%
359,"Feb 12, 1991",77.53,77.53,77.53,77.53,0,-0.41%
360,"Feb 13, 1991",78.67,78.67,78.67,78.67,0,1.47%
361,"Feb 14, 1991",77.88,77.88,77.88,77.88,0,-1.00%
362,"Feb 15, 1991",79.17,79.17,79.17,79.17,0,1.66%
363,"Feb 19, 1991",80.89,80.89,80.89,80.89,0,2.17%
364,"Feb 20, 1991",80.4,80.4,80.4,80.4,0,-0.61%
365,"Feb 21, 1991",79.54,79.54,79.54,79.54,0,-1.07%
366,"Feb 22, 1991",79.01,79.01,79.01,79.01,0,-0.67%
367,"Feb 25, 1991",79.18,79.18,79.18,79.18,0,0.22%
368,"Feb 26, 1991",77.44,77.44,77.44,77.44,0,-2.20%
369,"Feb 27, 1991",77.86,77.86,77.86,77.86,0,0.54%
370,"Feb 28, 1991",77.03,77.03,77.03,77.03,0,-1.07%
371,"Mar 01, 1991",78.02,78.02,78.02,78.02,0,1.29%
372,"Mar 04, 1991",78.04,78.04,78.04,78.04,0,0.03%
373,"Mar 05, 1991",80.74,80.74,80.74,80.74,0,3.46%
374,"Mar 06, 1991",80.88,80.88,80.88,80.88,0,0.17%
375,"Mar 07, 1991",81.31,81.31,81.31,81.31,0,0.53%
376,"Mar 08, 1991",80.84,80.84,80.84,80.84,0,-0.58%
377,"Mar 11, 1991",78.99,78.99,78.99,78.99,0,-2.29%
378,"Mar 12, 1991",77.7,77.7,77.7,77.7,0,-1.63%
379,"Mar 13, 1991",79.43,79.43,79.43,79.43,0,2.23%
380,"Mar 14, 1991",78.61,78.61,78.61,78.61,0,-1.03%
381,"Mar 15, 1991",77.88,77.88,77.88,77.88,0,-0.93%
382,"Mar 18, 1991",78.23,78.23,78.23,78.23,0,0.45%
